BL-001 	T 	BL 	F 	단추 여밈의 전체 오픈형
BL-006 	T 	BL 	F 	어깨에서 밑단까지 세로로 이어지는 프릴 장식
BL-006 	T 	BL 	F 	조직 자카드 원단 사용
BL-006 	T 	BL 	M 	면 100%
BL-006 	T 	BL 	M 	약간 비침이 있는
BL-006 	T 	BL 	M 	가로 방향의 부분 줄무늬 자카드
BL-006 	T 	BL 	M 	시원해 보이는
BL-006 	T 	BL 	M 	손세탁
BL-006 	T 	BL 	C 	깔끔한 화이트
BL-006 	T 	BL 	C 	단색의
BL-006 	T 	BL 	E 	사랑스러운
BL-006 	T 	BL 	E 	내추럴한
BL-006 	T 	BL 	E 	시원해 보이는
BL-006 	T 	BL 	E 	깔끔한
BL-006 	T 	BL 	E 	귀여운 느낌
BL-006 	T 	BL 	E 	발랄하고 어려보이는 이미지
BL-006 	T 	BL 	E 	로맨틱한 데이트룩
BL-007 	T 	BL 	F 	단추 여밈의 전체 오픈형
BL-007 	T 	BL 	F 	칼라가 없고 넓게 파인 V넥
BL-007 	T 	BL 	F 	엉덩이 위에서 끝나는 짧은 기장
BL-007 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 소매
BL-007 	T 	BL 	F 	드롭숄더
BL-007 	T 	BL 	F 	통이 넓은 소매에 소맷단 고무 밴딩 처리
BL-007 	T 	BL 	F 	허리에 다트가 있어 피트됨
BL-007 	T 	BL 	F 	뒤가 더 긴 언발란스 가오리 핏
BL-007 	T 	BL 	F 	단추가 두 개씩 짝지어 배열
BL-007 	T 	BL 	F 	안단 있음
BL-007 	T 	BL 	M 	면60%,레이온40%
BL-007 	T 	BL 	M 	약간 비침이 있는
BL-007 	T 	BL 	M 	가로 줄무늬가 보이는
BL-007 	T 	BL 	M 	시원해 보이는
BL-007 	T 	BL 	M 	얇은
BL-007 	T 	BL 	M 	까슬까슬한 느낌
BL-007 	T 	BL 	M 	손세탁
BL-007 	T 	BL 	C 	차분한 느낌의 연블루(SKY BLUE)
BL-007 	T 	BL 	C 	시원해 보이는
BL-007 	T 	BL 	C 	단색의
BL-007 	T 	BL 	E 	여성스러운
BL-007 	T 	BL 	E 	페미닌한
BL-007 	T 	BL 	E 	시원한
BL-007 	T 	BL 	E 	단정한
BL-007 	T 	BL 	E 	차분한 이미지
BL-007 	T 	BL 	E 	청순한 데이트룩
BL-008 	T 	BL 	F 	뒷단추 여밈의 전체 오픈형
BL-008 	T 	BL 	F 	단정해 보이는 라운드넥 네크라인
BL-008 	T 	BL 	F 	네크라인에 플라운스 장식
BL-008 	T 	BL 	F 	엉덩이를 살짝 덮는 기장
BL-008 	T 	BL 	F 	손등을 절반 정도 덮는 긴 소매
BL-008 	T 	BL 	F 	일자로 떨어지는 핏
BL-008 	T 	BL 	F 	드롭숄더
BL-008 	T 	BL 	F 	소매끝단 넓은 커프스 와 프릴 장식
BL-008 	T 	BL 	F 	앞,뒤 양면 모두 착용 가능한 스타일
BL-008 	T 	BL 	M 	면 100%
BL-008 	T 	BL 	M 	산형능직
BL-008 	T 	BL 	M 	구김이 가기 쉬운
BL-008 	T 	BL 	M 	손세탁
BL-008 	T 	BL 	C 	시원해 보이는 연 블루(SKY BLUE)
BL-008 	T 	BL 	C 	차분해 보이는
BL-008 	T 	BL 	C 	단색의
BL-008 	T 	BL 	E 	차분한
BL-008 	T 	BL 	E 	시원해 보이는
BL-008 	T 	BL 	E 	단정하고 깔끔한 하객룩
BL-008 	T 	BL 	E 	사랑스러운 데이트룩
BL-009 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-009 	T 	BL 	F 	라운드 네크라인
BL-009 	T 	BL 	F 	일자형 암홀
BL-009 	T 	BL 	F 	엉덩이를 절반 정도 덮는 길이
BL-009 	T 	BL 	F 	손등을 덮는 길이의 레그 오브 머튼 슬리브
BL-009 	T 	BL 	F 	품이 여유로운
BL-009 	T 	BL 	F 	밑단을 둥글림
BL-009 	T 	BL 	F 	히든 버튼 형태
BL-009 	T 	BL 	F 	소매의 어깨 부분에 셔링 주름을 잡아 많이 부풀림
BL-009 	T 	BL 	F 	뒷판에 요크
BL-009 	T 	BL 	F 	뒤중심에 턱 주름
BL-009 	T 	BL 	M 	면 100%
BL-009 	T 	BL 	M 	구김이 가기 쉬운
BL-009 	T 	BL 	M 	세탁 후 다림질 요망
BL-009 	T 	BL 	M 	신축성 없음
BL-009 	T 	BL 	M 	드라이클리닝 권장
BL-009 	T 	BL 	C 	깔끔한 화이트 컬러
BL-009 	T 	BL 	C 	단색의
BL-009 	T 	BL 	E 	여성스러운
BL-009 	T 	BL 	E 	깔끔한
BL-009 	T 	BL 	E 	세련된
BL-009 	T 	BL 	E 	우아한
BL-009 	T 	BL 	E 	고급스러운
BL-009 	T 	BL 	E 	모던한
BL-009 	T 	BL 	E 	여유있는
BL-009 	T 	BL 	E 	부풀려진
BL-009 	T 	BL 	E 	포멀한
BL-010 	T 	BL 	F 	여밈이 없는 풀오버 스타일
BL-010 	T 	BL 	F 	뒤에서 묶는 리본 칼라
BL-010 	T 	BL 	F 	드롭 숄더 형태
BL-010 	T 	BL 	F 	엉덩이를 절반 정도 덮는 길이
BL-010 	T 	BL 	F 	손목까지 오는 길이의 랜턴 소매
BL-010 	T 	BL 	F 	품이 여유로운
BL-010 	T 	BL 	F 	밑단을 둥글림
BL-010 	T 	BL 	F 	뒷판 네크라인은 깊은 브이 네크라인
BL-010 	T 	BL 	F 	뒤중심에 절개선
BL-010 	T 	BL 	F 	뒤에서 묶는 리본 끈을 길게하여 여성스러움
BL-010 	T 	BL 	M 	면 100%
BL-010 	T 	BL 	M 	구김이 가기 쉬운
BL-010 	T 	BL 	M 	세탁 후 다림질 요망
BL-010 	T 	BL 	M 	신축성 없음
BL-010 	T 	BL 	M 	드라이클리닝 권장
BL-010 	T 	BL 	C 	깔끔한 화이트 컬러
BL-010 	T 	BL 	C 	단색의
BL-010 	T 	BL 	E 	여성스러운
BL-010 	T 	BL 	E 	깔끔한
BL-010 	T 	BL 	E 	세련된
BL-010 	T 	BL 	E 	모던한
BL-010 	T 	BL 	E 	섹시한
BL-010 	T 	BL 	E 	데이트룩
BL-011 	T 	BL 	F 	여밈이 없는 풀오버 스타일
BL-011 	T 	BL 	F 	라운드 네크라인
BL-011 	T 	BL 	F 	셋 인 슬리브
BL-011 	T 	BL 	F 	엉덩이를 절반 정도 덮는 길이
BL-011 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 길이
BL-011 	T 	BL 	F 	밑단을 둥글림
BL-011 	T 	BL 	F 	뒷판 네크라인은 슬릿 네크라인
BL-011 	T 	BL 	F 	뒷목과 슬릿 중간에 달린 끈으로 리본 매듭을 짓는 형태
BL-011 	T 	BL 	F 	소매의 어깨 부분에 주름을 잡아 부풀리고
BL-011 	T 	BL 	F 	소매 끝에 밴딩 처리를 하여 소매를 부풀리고 밑으로 프릴지게 함
BL-011 	T 	BL 	F 	뒤중심에 절개선
BL-011 	T 	BL 	M 	레이온 80% + 나일론 20%
BL-011 	T 	BL 	M 	시원한 느낌의
BL-011 	T 	BL 	M 	구김이 가기 쉬운
BL-011 	T 	BL 	M 	광택이 있는
BL-011 	T 	BL 	M 	비침이 있는
BL-011 	T 	BL 	M 	얇고 드레이프 지는
BL-011 	T 	BL 	M 	드리이클리닝 권장
BL-011 	T 	BL 	C 	톤 다운된 페일 핑크 컬러
BL-011 	T 	BL 	C 	단색의
BL-011 	T 	BL 	C 	광택이 있는
BL-011 	T 	BL 	E 	여성스러운
BL-011 	T 	BL 	E 	로맨틱한
BL-011 	T 	BL 	E 	사랑스러운
BL-011 	T 	BL 	E 	화려한
BL-011 	T 	BL 	E 	장식적인
BL-011 	T 	BL 	E 	성숙해 보이는 데이트룩
BL-012 	T 	BL 	F 	랩 스타일
BL-012 	T 	BL 	F 	칼라가 없는 서플리스 네크라인
BL-012 	T 	BL 	F 	드롭 숄더 형태
BL-012 	T 	BL 	F 	엉덩이를 덮는 길이
BL-012 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 길이의 벌룬 소매
BL-012 	T 	BL 	F 	밑단을 둥글림
BL-012 	T 	BL 	F 	오른쪽 옆선의 구멍으로 끈을 넣어 랩핑한 뒤 리본 매듭을 짓는 형태
BL-012 	T 	BL 	F 	소매 옆선 끝 쪽에 겹침 디테일로 허리라인을 강조하는 스타일
BL-012 	T 	BL 	F 	소맷단에 풍성한셔링 주름
BL-012 	T 	BL 	M 	면 100%
BL-012 	T 	BL 	M 	구김이 가기 쉬운
BL-012 	T 	BL 	M 	세탁 후 다림질 요망
BL-012 	T 	BL 	M 	비침이 있는
BL-012 	T 	BL 	M 	얇은
BL-012 	T 	BL 	M 	신축성 없음
BL-012 	T 	BL 	M 	드라이클리닝 권장
BL-012 	T 	BL 	C 	톤 다운된 페일 핑크 컬러
BL-012 	T 	BL 	C 	단색의
BL-012 	T 	BL 	C 	광택이 있는
BL-012 	T 	BL 	E 	여성스러운
BL-012 	T 	BL 	E 	세련된
BL-012 	T 	BL 	E 	고급스러운
BL-012 	T 	BL 	E 	우아한
BL-012 	T 	BL 	E 	섹시한
BL-012 	T 	BL 	E 	시원해 보이는
BL-012 	T 	BL 	E 	여성스럽고 섹시한 데이트룩
BL-013 	T 	BL 	F 	뒷목에 단추 여밈
BL-013 	T 	BL 	F 	차이나 칼라
BL-013 	T 	BL 	F 	셋 인 슬리브
BL-013 	T 	BL 	F 	골반 위에서 끝나는 짧은 길이
BL-013 	T 	BL 	F 	손목까지 오는 길이의 소매
BL-013 	T 	BL 	F 	앞판에 가슴부분에 여러 개의 핀턱 을 잡고 가슴선 부터 풀어서 아래쪽이 자연스런 주름으로 품이 여유로움
BL-013 	T 	BL 	F 	플러어 지는 밑단
BL-013 	T 	BL 	F 	소매 어깨 부분에 셔링 주름, 소맷단에 셔링 주름
BL-013 	T 	BL 	F 	뒷목에 트임
BL-013 	T 	BL 	M 	면 100%
BL-013 	T 	BL 	M 	구김이 가기 쉬운
BL-013 	T 	BL 	M 	세탁 후 다림질 요망
BL-013 	T 	BL 	M 	신축성 없음
BL-013 	T 	BL 	M 	드라이클리닝 권장
BL-013 	T 	BL 	C 	단색의 겨자색
BL-013 	T 	BL 	E 	여성스러운
BL-013 	T 	BL 	E 	깔끔한
BL-013 	T 	BL 	E 	귀여운
BL-013 	T 	BL 	E 	발랄한
BL-013 	T 	BL 	E 	어려보이는 이미지
BL-013 	T 	BL 	E 	발랄한 데이트룩
BL-014 	T 	BL 	F 	여밈이 없는 풀오버 스타일
BL-014 	T 	BL 	F 	쇄골라인과 가슴라인이 보이는 깊게 파인 V넥 넥크라인
BL-014 	T 	BL 	F 	네크라인을 따라 플라운스 장식
BL-014 	T 	BL 	F 	엉덩이를 살짝 덮는 기장
BL-014 	T 	BL 	F 	손등을 절반 정도 덮는 긴 소매
BL-014 	T 	BL 	F 	몸통부분 2단의 플레어로 넉넉한 핏
BL-014 	T 	BL 	F 	넓은 커프스
BL-014 	T 	BL 	F 	가슴에 절개와 넓은 프릴 장식
BL-014 	T 	BL 	M 	폴리에스테르 100%
BL-014 	T 	BL 	M 	시원해 보이는
BL-014 	T 	BL 	M 	드레이퍼리한
BL-014 	T 	BL 	M 	손세탁
BL-014 	T 	BL 	C 	발랄해 보이는 머스타드 바탕
BL-014 	T 	BL 	C 	화이트 프로럴 무늬로 로맨틱한 느낌
BL-014 	T 	BL 	E 	여성스러운
BL-014 	T 	BL 	E 	시원해 보이는
BL-014 	T 	BL 	E 	로맨틱한
BL-014 	T 	BL 	E 	드레시한
BL-015 	T 	BL 	F 	어깨끈이 없는 오프숄더 형태
BL-015 	T 	BL 	F 	엉덩이를 절반 정도 덮는 기장
BL-015 	T 	BL 	F 	손목과 팔꿈치의 절반 정도 오는 기장의 소매
BL-015 	T 	BL 	F 	허리에 고무즐 처리로 허리 라인을 강조
BL-015 	T 	BL 	F 	어깨라인 고무밴딩 처리로 가슴부분 풍성한 효과
BL-015 	T 	BL 	F 	소매 밑단에 러플 장식
BL-015 	T 	BL 	M 	면 100%
BL-015 	T 	BL 	M 	평직
BL-015 	T 	BL 	M 	부드러운
BL-015 	T 	BL 	M 	구김이 잘 가는
BL-015 	T 	BL 	M 	드라이클리닝 권장
BL-015 	T 	BL 	C 	흰색 바탕에
BL-015 	T 	BL 	C 	톤다운된 그린 컬러와 그레이시 컬러의 큰 나뭇잎 패턴 배색
BL-015 	T 	BL 	C 	크고 화려한 패턴
BL-015 	T 	BL 	E 	여성스러운
BL-015 	T 	BL 	E 	화려한
BL-015 	T 	BL 	E 	산뜻해 보이는 바캉스룩
BL-016 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-016 	T 	BL 	F 	칼라가 없으며 넓게 파인 V넥
BL-016 	T 	BL 	F 	엉덩이를 덮는 기장
BL-016 	T 	BL 	F 	손의 대부분을 덮는 긴 소매
BL-016 	T 	BL 	F 	드롭숄더
BL-016 	T 	BL 	F 	품이 넓고 여유로운
BL-016 	T 	BL 	F 	시스루의
BL-016 	T 	BL 	F 	제원단의 스카프 세트
BL-016 	T 	BL 	F 	손목에 고무 밴드 처리로 플레어짐
BL-016 	T 	BL 	M 	폴리에스테르100%
BL-016 	T 	BL 	M 	비침이 있는 / 시스루의
BL-016 	T 	BL 	M 	시원해 보이는
BL-016 	T 	BL 	M 	드레이퍼리한
BL-016 	T 	BL 	M 	손세탁
BL-016 	T 	BL 	C 	차분해 보이는 네이비(NAVY) 바탕
BL-016 	T 	BL 	C 	화이트, 옐로우, 핑크 꽃다발이 반복 되는 화려한 플로럴 무늬
BL-016 	T 	BL 	E 	페미닌한
BL-016 	T 	BL 	E 	시원한 느낌
BL-016 	T 	BL 	E 	화려한
BL-016 	T 	BL 	E 	성숙해 보이는 데이트룩
BL-017 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-017 	T 	BL 	F 	깊게 파인 라운드넥 네크라인
BL-017 	T 	BL 	F 	네크라인따라 두 겹의 플라운스 장식
BL-017 	T 	BL 	F 	엉덩이를 덮는 기장
BL-017 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 벌룬 소매
BL-017 	T 	BL 	F 	일자로 떨어지는 어유로운 핏
BL-017 	T 	BL 	F 	어깨에 패드 있음
BL-017 	T 	BL 	F 	소매단 고무 밴딩처리로 소매끝약간 플라운스 짐
BL-017 	T 	BL 	M 	폴리에스테르100%
BL-017 	T 	BL 	M 	약간 비침이 있는
BL-017 	T 	BL 	M 	시원해 보이는
BL-017 	T 	BL 	M 	드레이퍼리한
BL-017 	T 	BL 	M 	드라이클리닝 권장
BL-017 	T 	BL 	C 	부드러운 화이트 컬러 바탕
BL-017 	T 	BL 	C 	블루 그레이시톤의 잔꽃무늬
BL-017 	T 	BL 	C 	잔잔한 느낌
BL-017 	T 	BL 	E 	로맨틱한
BL-017 	T 	BL 	E 	시원한
BL-017 	T 	BL 	E 	잔잔한
BL-017 	T 	BL 	E 	페미닌한
BL-017 	T 	BL 	E 	조용한
BL-017 	T 	BL 	E 	성숙한 이미지
BL-018 	T 	BL 	F 	뒷 목에 단추 여밈
BL-018 	T 	BL 	F 	칼라가 없는 라운드넥 네크라인
BL-018 	T 	BL 	F 	엉덩이 위에서 끝나는 기장
BL-018 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 소매
BL-018 	T 	BL 	F 	드롭숄더
BL-018 	T 	BL 	F 	일자로 떨어지는 어유로운 핏
BL-018 	T 	BL 	F 	뒷목에 얕은 트임
BL-018 	T 	BL 	F 	소맷단은 커프스에 단추 두개
BL-018 	T 	BL 	M 	레이온 100%
BL-018 	T 	BL 	M 	구김이 가기 쉬운
BL-018 	T 	BL 	M 	드라이클리닝 권장
BL-018 	T 	BL 	C 	가을 느낌의 차분한 브라운 컬러 바탕
BL-018 	T 	BL 	C 	흰색의 페이즐리 패턴으로 이국적인 느낌
BL-018 	T 	BL 	E 	페미닌한
BL-018 	T 	BL 	E 	차분한
BL-018 	T 	BL 	E 	단정한
BL-018 	T 	BL 	E 	이국적인
BL-018 	T 	BL 	E 	민속풍의
BL-018 	T 	BL 	E 	가을에 입기 좋은
BL-018 	T 	BL 	E 	성숙한
BL-019 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-019 	T 	BL 	F 	셔츠 칼라
BL-019 	T 	BL 	F 	엉덩이를 덮는 길이
BL-019 	T 	BL 	F 	손목까지 내려오는 일자형 소매
BL-019 	T 	BL 	F 	드롭 숄더
BL-019 	T 	BL 	F 	일자로 떨어지는 여유로운 핏
BL-019 	T 	BL 	F 	밑단은 둥글게 커팅
BL-019 	T 	BL 	F 	소매를 걷어 올려 단추에 고정 시켜 반팔로 입을 수 있음
BL-019 	T 	BL 	F 	등판에 요크있음
BL-019 	T 	BL 	M 	폴리에스테르100%
BL-019 	T 	BL 	M 	시원해 보이는
BL-019 	T 	BL 	M 	부드럽게 떨어지는
BL-019 	T 	BL 	M 	드라이클리닝 권장
BL-019 	T 	BL 	C 	톤다운된 소라(SKY BLUE) 컬러 바탕
BL-019 	T 	BL 	C 	톤다운된 오렌지 컬러의 플로럴 패턴으로 차분한 느낌
BL-019 	T 	BL 	E 	차분한
BL-019 	T 	BL 	E 	세련된
BL-019 	T 	BL 	E 	성숙해 보이는 데일리룩
BL-019 	T 	BL 	E 	오피스룩
BL-020 	T 	BL 	F 	여밈이 없는 풀오버스타일
BL-020 	T 	BL 	F 	차이나 칼라
BL-020 	T 	BL 	F 	엉덩이를 덮는 기장
BL-020 	T 	BL 	F 	손목까지 내려오는 벌룬 소매
BL-020 	T 	BL 	F 	드롭숄더
BL-020 	T 	BL 	F 	여유로운 핏
BL-020 	T 	BL 	F 	암홀 라인에 배색 스타치 장식
BL-020 	T 	BL 	F 	뒷목부분에 셔링
BL-020 	T 	BL 	F 	칼라, 소매단, 앞판에 이국적인 자수 디테일
BL-020 	T 	BL 	F 	네크라인에 달린 끈으로 리본 매듭
BL-020 	T 	BL 	F 	끈의 끝에 태슬 장식
BL-020 	T 	BL 	M 	레이온70%,나일론30%
BL-020 	T 	BL 	M 	비침이 있는
BL-020 	T 	BL 	M 	구김이 가기 쉬운
BL-020 	T 	BL 	M 	드라이클리닝 권장
BL-020 	T 	BL 	C 	부드러운 화이트 컬러 바탕
BL-020 	T 	BL 	C 	에스닉한 자수 디테일로 이국적인 느낌
BL-020 	T 	BL 	E 	이국적인
BL-020 	T 	BL 	E 	시원한
BL-020 	T 	BL 	E 	에스닉한
BL-021 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-021 	T 	BL 	F 	칼라없는 라운드 네크라인에 중앙에 사선절개
BL-021 	T 	BL 	F 	엉덩이를 덮는 길이
BL-021 	T 	BL 	F 	여유 있는 셋 인 슬리브
BL-021 	T 	BL 	F 	손목까지 내려오는 벌룬 소매
BL-021 	T 	BL 	F 	여유로운 핏
BL-021 	T 	BL 	F 	손목 부분 고무밴딩 처리로 끝단 플레어짐
BL-021 	T 	BL 	F 	가슴 부분에 삼단의 프릴 장식
BL-021 	T 	BL 	F 	등판에 요크와 프릴 장식
BL-021 	T 	BL 	M 	폴리에스테르100%
BL-021 	T 	BL 	M 	약간 비침이 있는
BL-021 	T 	BL 	M 	시원해 보이는
BL-021 	T 	BL 	M 	손세탁
BL-021 	T 	BL 	C 	핑크 컬러 바탕
BL-021 	T 	BL 	C 	플로럴 패턴으로 로맨틱한 느낌
BL-021 	T 	BL 	E 	시원해 보이는
BL-021 	T 	BL 	E 	로맨틱한
BL-021 	T 	BL 	E 	장식적인
BL-021 	T 	BL 	E 	발랄하고 어려보이는 이미지
BL-021 	T 	BL 	E 	사랑스러운 데이트룩
BL-022 	T 	BL 	F 	여밈이 없는 풀오버스타일
BL-022 	T 	BL 	F 	칼라가 없는 앞 중심 슬릿 네크라인
BL-022 	T 	BL 	F 	손목까지 내려오는 넉넉한 벌룬 소매
BL-022 	T 	BL 	F 	드롭숄더 형태
BL-022 	T 	BL 	F 	여유로운 핏
BL-022 	T 	BL 	F 	뒷목에 셔링
BL-022 	T 	BL 	F 	네크라인에 달린 제원단 스트링으로 리본 매듭
BL-022 	T 	BL 	M 	면
BL-022 	T 	BL 	M 	체크 선염 직조 원단
BL-022 	T 	BL 	M 	부드러운
BL-022 	T 	BL 	M 	얇은
BL-022 	T 	BL 	C 	화이트, 블랙, 핑크, 블루 색상의 체크 무늬
BL-022 	T 	BL 	E 	보수적인
BL-022 	T 	BL 	E 	편안한
BL-022 	T 	BL 	E 	귀여운
BL-022 	T 	BL 	E 	자분한
BL-022 	T 	BL 	E 	캠퍼스룩
BL-022 	T 	BL 	E 	데일리룩
BL-023 	T 	BL 	F 	오른쪽으로 여며지는 랩 스타일
BL-023 	T 	BL 	F 	칼라가 없는 서플리스 네크라인
BL-023 	T 	BL 	F 	드롭 숄더 형태
BL-023 	T 	BL 	F 	허리에서 끝나는 크롭 기장
BL-023 	T 	BL 	F 	팔꿈치와 손목의 절반까지 오는 길이의 소매
BL-023 	T 	BL 	F 	밑단을 스트랩으로 조여 리본 매듭을 짓는 형태
BL-023 	T 	BL 	F 	허리를 강조해주는 스타일로 시원해 보이는 스타일 연출 가능
BL-023 	T 	BL 	F 	전체 잔 체크무늬
BL-023 	T 	BL 	M 	면60%+레이온40%
BL-023 	T 	BL 	M 	부드러운
BL-023 	T 	BL 	M 	표면에 잔털이 있는
BL-023 	T 	BL 	M 	약간 신축성이 있는
BL-023 	T 	BL 	M 	드라이클리닝 권장
BL-023 	T 	BL 	C 	단색의 화이트 컬러 바탕
BL-023 	T 	BL 	C 	블랙 컬러의 얇은 깅엄 체크
